Company,Pull,PMID,Title,"Affiliated (1 = primary, 2 = secondary)",Research Topic,Samples,Number of proteins Investigated ,Number of Proteins Associated ,Number of Proteins Found to be Significant ,Biomarkers,Been Converted,Panels,Assays / Protein Classes,Comment,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 24,Assays Run ,96,48,other animals,UNIProt ID,Comments,Unnamed: 31
Olink,Q3 '22 - Q1 '23,36643799,"TACE/ADAM17 substrates associate with ACS (Ep-CAM, HB-EGF) and follow-up MACE (TNFR1 and TNFR2)",0,Cardiovascular,344,18,7,5,"LAG-3,HB-EGF,Ep-CAM,TNFR1,TNFR2",1,4,"CVDII, CVDIII, immune response, inflammation ","We demonstrate a possible role of TACE substrates LAG-3, HB-EGF and Ep-CAM in atherosclerotic plaque development and stability. We also underline the importance of measuring TNFR1 and TNFR2 earlier than previously appreciated for MACE prediction. We report an important role of TIMP3 in regulating TACE levels.","Chemaly M, McAllister R, Peace A, Bjourson AJ, Watterson S, Parton A, Clauss M, McGilligan V.",Atheroscler Plus. 2022 Sep 28;50:40-49. doi: 10.1016/j.athplu.2022.09.001. eCollection 2022 Dec.,Chemaly M,Atheroscler Plus,2022,1/16/2023,PMC9833260,,10.1016/j.athplu.2022.09.001,,1376,14,0,,"P18627,Q99075,P16422,Q15628,P20333,",,
Olink,Q3 '22 - Q1 '23,35929818,Plasma biomarkers for systemic inflammation in COVID-19 survivors,0,Infectious Disease,66,92,11,1,CXCL10,1,1,Target96 inflammation,"Done alongside a Biolegend quant panel, bead based assay; ","Zhao J, Schank M, Wang L, Dang X, Cao D, Khanal S, Nguyen LNT, Zhang Y, Wu XY, Adkins JL, Pelton BJ, Zhang J, Ning S, Gazzar ME, Moorman JP, Yao ZQ.",Proteomics Clin Appl. 2022 Sep;16(5):e2200031. doi: 10.1002/prca.202200031. Epub 2022 Aug 15.,Zhao J,Proteomics Clin Appl,2022,8/5/2022,PMC9539278,,10.1002/prca.202200031,,66,0,1,,"P02778,",,
Olink,Q3 '22 - Q1 '23,36726870,A Dedicated 21-Plex Proximity Extension Assay Panel for High-Sensitivity Protein Biomarker Detection Using Microdialysis in Severe Traumatic Brain Injury: The Next Step in Precision Medicine?,0,Neurology,1680,21,21,21,,0,1,Custom Olink Flex," The PEA method is a highly sensitive molecular tool for protein profiling from cerebral tissue in TBI. The novel TBI dedicated 21-plex panel showed marked regulation of proteins belonging to the inflammation, plasticity/repair, and axonal injury families. The method may enable important insights into complex injury processes on a molecular level that may be of value in future efforts to tailor pharmacological TBI trials to better address specific disease processes and optimize timing of treatments.","Dyhrfort P, Wettervik TS, Clausen F, Enblad P, Hillered L, Lewén A.",Neurotrauma Rep. 2023 Jan 11;4(1):25-40. doi: 10.1089/neur.2022.0067. eCollection 2023.,Dyhrfort P,Neurotrauma Rep,2023,2/2/2023,PMC9886191,,10.1089/neur.2022.0067,,1680,17,1,,,,
Olink,Q3 '22 - Q1 '23,36773824,Proteomic characterization of atopic dermatitis blood from infancy to adulthood,0,Immunology,375,,,,"interleukin 4,CCL13,CCL17,IFNg,CXCL9,CXCL10,CCL2,interleukin 17C,IL1RN,CCL19,CCL13,CCL17,PI3 ",1,1,,"Each group presented a distinct systemic proteomic signature. Th2-related proteins were increased in infant AD and further intensified with age through adolescence and adulthood (interleukin 4/CCL13/CCL17). In contrast, Th1 axis down-regulation was detected in infants with AD and gradually reversed to increased Th1 products (interferon ?/CXCL9/CXCL10/CCL2) in patients with AD from childhood to adulthood. Despite their short disease duration, infants already had evidence of systemic inflammation, with significant upregulation of innate immunity (interleukin 17C/ interleukin-1RN), T-cell activation/migration (CCL19), Th2 (CCL13/CCL17), and Th17 (PI3) proteins. Adults with AD present unique upregulation of cardiovascular proteins related to coagulation and diabetes.","Del Duca E, Renert-Yuval Y, Pavel AB, Mikhaylov D, Wu J, Lefferdink R, Fang M, Sheth A, Blumstein A, Facheris P, Estrada YD, Rangel SM, Krueger JG, Paller AS, Guttman-Yassky E.",J Am Acad Dermatol. 2023 May;88(5):1083-1093. doi: 10.1016/j.jaad.2022.12.050. Epub 2023 Feb 10.,Del Duca E,J Am Acad Dermatol,2023,2/11/2023,,,10.1016/j.jaad.2022.12.050,,375,3,1,,"P05112,Q99616,Q92583,P01579,Q07325,P02778,P13500,Q9P0M4,P18510,Q99731,Q99616,Q92583,P19957,",,
Olink,Q3 '22 - Q1 '23,36012423,Combining Deep Phenotyping of Serum Proteomics and Clinical Data via Machine Learning for COVID-19 Biomarker Discovery,0,Infectious Disease,160,274,,9,"CD200R1,MCP1,MCP3,IL6,LTBP2,MATN3,TRANCE,MRAPA2,KIT",1,3,"Target 96 Inflammation, cardiometabolic, neurology","By analyzing PEA, clinical and hematochemical data with statistical methods that were able to handle many variables in the presence of a relatively small sample size, we identified nine potential serum biomarkers of a severe outcome. Most of these were confirmed by literature data. Importantly, we found three biomarkers associated with central nervous system pathologies and protective factors, which were downregulated in the most severe cases.","Beltrami AP, De Martino M, Dalla E, Malfatti MC, Caponnetto F, Codrich M, Stefanizzi D, Fabris M, Sozio E, D'Aurizio F, Pucillo CEM, Sechi LA, Tascini C, Curcio F, Foresti GL, Piciarelli C, De Nardin A, Tell G, Isola M.",Int J Mol Sci. 2022 Aug 15;23(16):9161. doi: 10.3390/ijms23169161.,Beltrami AP,Int J Mol Sci,2022,8/26/2022,PMC9409308,,10.3390/ijms23169161,,480,5,0,,"Q8TD46,P13500,P80098,P05231,Q14767,O15232,O14788,P30533,P10721,",,
Olink,Q3 '22 - Q1 '23,36359256,Quantitative Proteomics Indicate Radical Removal of Non-Small Cell Lung Cancer and Predict Outcome,0,Oncology,86,92,,2,"MICa,MICb,FASLG",1,1,Target 96 Oncology II,"In conclusion, quantitative proteomics could be used for NSCLC identification but may also provide information on radical surgical removal of NSCLC and post-surgical prognosis.","Bodén E, Andreasson J, Hirdman G, Malmsjö M, Lindstedt S.",Biomedicines. 2022 Oct 28;10(11):2738. doi: 10.3390/biomedicines10112738.,Bodén E,Biomedicines,2022,11/11/2022,PMC9687227,,10.3390/biomedicines10112738,,86,0,1,,"A0A1V0E430,A0A3S8Z5U7,P48023,",,
Olink,Q3 '22 - Q1 '23,36655501,Multiplex proteomics using proximity extension assay for the identification of protein biomarkers predictive of acute graft-vs.-host disease in allogeneic hematopoietic cell transplantation,0,Immunology,56,552,26,4,"SLAMF7,IL1ra,BTN3A2,DAB2",1,6,,"We conclude that serum proteins identified using multiplex proteomics, particularly SLAMF7, IL-1ra, BTN3A2 and DAB2, may potentially predict aGVHD.","Pasic I, Ren AH, Nampoothiri RV, Prassas I, Lipton JH, Mattsson J, Diamandis EP, Michelis FV.",Clin Chem Lab Med. 2023 Jan 20. doi: 10.1515/cclm-2022-0916. Online ahead of print.,Pasic I,Clin Chem Lab Med,2023,1/19/2023,,,10.1515/cclm-2022-0916,,336,3,1,,"Q9NQ25,P18510,P78410,P98082,",,
Olink,Q3 '22 - Q1 '23,35967338,Plasma protein profiling reveals dynamic immunomodulatory changes in multiple sclerosis patients during pregnancy,0,Neurology,100,92,9,,"PD-L1,LIF-R,TGFb1,CCL28,CCL8,CCL13,CXCL5,TRANCE,TWEAK",1,1,Target 96 Inflammation,"Thus, this pattern reflects the disease activity of MS during pregnancy. Among the differentially expressed proteins in pregnancy, several proteins with known immunoregulatory properties were upregulated, such as PD-L1, LIF-R, TGF-?1, and CCL28. On the other hand, inflammatory chemokines such as CCL8, CCL13, and CXCL5, as well as members of the tumor necrosis factor family, TRANCE and TWEAK, were downregulated. ","Papapavlou Lingehed G, Hellberg S, Huang J, Khademi M, Kockum I, Carlsson H, Tjernberg I, Svenvik M, Lind J, Blomberg M, Vrethem M, Mellergård J, Gustafsson M, Jenmalm MC, Olsson T, Ernerudh J.",Front Immunol. 2022 Jul 29;13:930947. doi: 10.3389/fimmu.2022.930947. eCollection 2022.,Papapavlou Lingehed G,Front Immunol,2022,8/15/2022,PMC9373039,,10.3389/fimmu.2022.930947,,100,1,0,,"Q9NZQ7,P42702,P01137,Q9NRJ3,P80075,Q99616,P42830,O14788,O43508,",,
Olink,Q3 '22 - Q1 '23,35780152,Galectin-4 levels in hospitalized versus non-hospitalized subjects with obesity: the MalmÃÂÃÂÃÂÃÂ¶ Preventive Project,0,Cardiovascular ,517,92,,2,"Gal-4,IGFBP-1",1,1,Target 96 CVDIII," In middle-aged and older individuals with obesity, increased Gal-4 levels were associated with a higher probability of HO. This association was only significant in subjects with diabetes only, further implying a role for Gal-4 in diabetes and its complications.
","Korduner J, Holm H, Jujic A, Melander O, Pareek M, Molvin J, Råstam L, Lindblad U, Daka B, Leosdottir M, Nilsson PM, Bachus E, Olsen MH, Magnusson M.",Cardiovasc Diabetol. 2022 Jul 2;21(1):125. doi: 10.1186/s12933-022-01559-9.,Korduner J,Cardiovasc Diabetol,2022,7/2/2022,PMC9250274,,10.1186/s12933-022-01559-9,,517,5,0,,"P56470,P08833,",,
Olink,Q3 '22 - Q1 '23,33517457,Long-Lasting Imprint in the Soluble Inflammatory Milieu Despite Early Treatment of Acute Symptomatic Hepatitis C,0,Infectious Disease,315,92,44,7,"IL6,CXCL10,CP4,IL7,CDCP1,IL18,CD244",1,1,Target96 Inflammation ,,"Khera T, Du Y, Todt D, Deterding K, Strunz B, Hardtke S, Aregay A, Port K, Hardtke-Wolenski M, Steinmann E, Björkström NK, Manns MP, Hengst J, Cornberg M, Wedemeyer H.",J Infect Dis. 2022 Aug 26;226(3):441-452. doi: 10.1093/infdis/jiab048.,Khera T,J Infect Dis,2022,1/31/2021,PMC9417126,,10.1093/infdis/jiab048,,315,3,0,,"P05231,P02778,Q99616,P13232,Q9H5V8,Q14116,Q9BZW8,",,
Olink,Q3 '22 - Q1 '23,36739654,Novel biomarkers and emerging tools to identify causal molecular pathways in hypertension and associated cardiovascular diseases,0,Renal,2782,,52,,"CD40,TNFRSF9,IL10RB",1,1,,,"Józefczuk E, Guzik TJ, Siedlinski M.",Kardiol Pol. 2023;81(3):221-231. doi: 10.33963/KP.a2023.0037. Epub 2023 Feb 5.,Józefczuk E,Kardiol Pol,2023,2/5/2023,,,10.33963/KP.a2023.0037,,2782,28,1,,"Q09LL4,Q07011,Q08334,",,
Olink,Q3 '22 - Q1 '23,36274391,Subtype-specific plasma signatures of platelet-related protein releasate in acute pulmonary embolism,0, Cardiovascular,693,,,,,0,1,,,"Baidildinova G, Ten Cate V, Nagler M, Panova-Noeva M, Rapp S, Köck T, Prochaska JH, Heitmeier S, Gerdes C, Schwers S, Konstantinides SV, Münzel T, Espinola-Klein C, Lackner KJ, Spronk HMN, Ten Cate H, van der Meijden PEJ, Leineweber K, Wild PS, Jurk K.",Thromb Res. 2022 Dec;220:75-87. doi: 10.1016/j.thromres.2022.10.005. Epub 2022 Oct 13.,Baidildinova G,Thromb Res,2022,10/24/2022,,,10.1016/j.thromres.2022.10.005,,693,7,0,,,,
Olink,Q3 '22 - Q1 '23,35834914,Proteomics of the phase angle: Results from the population-based KORA S4 study,0,Methods Dev,1484,276,7,6,"N-terminal prohormone brain natriuretic peptide,NT-proBNP,insulin-like growth factor-binding protein 2,IGFBP2,adrenomedullin,ADM,myoglobin,MB,matrix metalloproteinase 9,MMP9,protein-glutamine gamma-glutamyltransferase 2,TGM2,fractalkine,CX3CL1",1,3,"Target 96 Inflammation, CVDII, CVDIII","Implementing a proteomics approach, we identified six new protein markers strongly associated with the PhA and confirmed that NT-proBNP is a key PhA marker. The main biological processes that were related to this PhA's protein profile are involved in regulating the amount and growth of cells, reinforcing, from a biomedical perspective, the current technical-based consensus of the PhA to reflect body cell mass.","Huemer MT, Petrera A, Hauck SM, Drey M, Peters A, Thorand B.",Clin Nutr. 2022 Aug;41(8):1818-1826. doi: 10.1016/j.clnu.2022.06.038. Epub 2022 Jun 30.,Huemer MT,Clin Nutr,2022,7/14/2022,,,10.1016/j.clnu.2022.06.038,,4452,46,0,,"P16860,P16860,C9JMY1,P18065,E9PQT2,P35318,P02144,P02144,Q9Y354,P14780,P21980,P21980,P78423,P78423,",,
Olink,Q3 '22 - Q1 '23,36932139,Evaluation of pre-processing methods for tear fluid proteomics using proximity extension assays,1,Methods Dev (Use of tears),40,92,,,,0,1,Target 96 Inflammation,Our study showed beneficial use of punches of any part of the strip except the head in future biomarker research.,"Vergouwen DPC, Schotting AJ, Endermann T, van de Werken HJG, Grashof DGB, Arumugam S, Nuijts RMMA, Ten Berge JC, Rothova A, Schreurs MWJ, Gijs M.",Sci Rep. 2023 Mar 17;13(1):4433. doi: 10.1038/s41598-023-31227-1.,Vergouwen DPC,Sci Rep,2023,3/18/2023,PMC10023677,,10.1038/s41598-023-31227-1,,40,0,0,,,,
Olink,Q3 '22 - Q1 '23,34612501,"Novel biomarkers of inflammation, kidney function and chronic kidney disease in the general population",0,Renal ,2782,92,52,9,"CD40,TNFRSF9,IL10RB",1,1,Target 96 Inflammation,"Nine of the 42 biomarkers were associated with incident CKD independent of cardiorenal risk factors in the meta-analysis of the KORA (n = 142, mean follow-up 6.5 years) and ESTHER (n = 103, mean follow-up 8 years) studies. Pathway analysis revealed the involvement of inflammatory and immunomodulatory processes reflecting cross-communication of innate and adaptive immune cells.","Nano J, Schöttker B, Lin JS, Huth C, Ghanbari M, Garcia PM, Maalmi H, Karrasch S, Koenig W, Rothenbacher D, Roden M, Meisinger C, Peters A, Brenner H, Herder C, Thorand B.",Nephrol Dial Transplant. 2022 Sep 22;37(10):1916-1926. doi: 10.1093/ndt/gfab294.,Nano J,Nephrol Dial Transplant,2022,10/6/2021,,,10.1093/ndt/gfab294,,2782,28,1,,"Q09LL4,Q07011,Q08334,",,
Olink,Q3 '22 - Q1 '23,35986174,Cerebrospinal fluid proteomic study of two bipolar disorder cohorts,0,Neurology,248,201,105,,,0,3,"Target 96 inflammation, oncology and CVDI",". After quality control and removal of proteins with a low detection rate, 105 proteins remained for analyses in relation to case-control status and clinical variables. Only case-control differences that replicated across cohorts were considered. Results adjusted for potential confounders showed that CSF concentrations of growth hormone were lower in bipolar disorder compared with controls in both cohorts. The effect size was larger when the analysis was restricted to bipolar disorder type 1 and controls. We found no indications of immune activation or other aberrations. Growth hormone exerts many effects in the central nervous system and our findings suggest that growth hormone might be implicated in the pathophysiology of bipolar disorder.","Isgren A, Göteson A, Holmén-Larsson J, Pelanis A, Sellgren C, Joas E, Sparding T, Zetterberg H, Smedler E, Jakobsson J, Landén M.",Mol Psychiatry. 2022 Nov;27(11):4568-4574. doi: 10.1038/s41380-022-01724-2. Epub 2022 Aug 19.,Isgren A,Mol Psychiatry,2022,8/19/2022,PMC9734044,,10.1038/s41380-022-01724-2,,744,7,1,,,,
Olink,Q3 '22 - Q1 '23,35979016,Increased inflammatory markers in adult patients born with an atrial septal defect,0,Cardiovascular,149,92,28,,,0,1,Target 96 inflammaiton,"Multiple inflammatory pathways showed stronger enrichment in both patient groups when compared with controls. In conclusion, inflammatory activity is altered in adult patients with an unrepaired ASD compared with healthy controls. The increased inflammatory burden of patients with an unrepaired ASD may contribute to the development of morbidities.","Schram AL, Sellmer A, Nyboe C, Sillesen M, Hjortdal VE.",Front Cardiovasc Med. 2022 Aug 1;9:925314. doi: 10.3389/fcvm.2022.925314. eCollection 2022.,Schram AL,Front Cardiovasc Med,2022,8/18/2022,PMC9377416,,10.3389/fcvm.2022.925314,,149,1,1,,,,
Olink,Q3 '22 - Q1 '23,36544145,Exhaled phospholipid transfer protein and hepatocyte growth factor receptor in lung adenocarcinoma,0,Oncology,37,92,,5,"PLTP,MET",1,1,Target 96 Cardiometabolic I,Ray biotech was used as an ELISA; Collection of EBP and measuring of PFR has never been performed in patients with LUAD. In the present study PFR alone could distinguish between LUAD and patients without LUAD. PLTP and MET were identified as potential biomarkers to evaluate successful tumor excision.,"Andreasson J, Bodén E, Fakhro M, von Wachter C, Olm F, Malmsjö M, Hallgren O, Lindstedt S.",Respir Res. 2022 Dec 21;23(1):369. doi: 10.1186/s12931-022-02302-4.,Andreasson J,Respir Res,2022,12/21/2022,PMC9768396,,10.1186/s12931-022-02302-4,,37,0,0,,"P55058,P08581,",,
Olink,Q3 '22 - Q1 '23,36597547,The mRNA vaccine BNT162b2 demonstrates impaired TH1 immunogenicity in human elders in vitro and aged mice in vivo,0,Infectious Disease ,5,368,,,,0,1,," Our study demonstrates the utility of a human in vitro platform to model age-specific mRNA vaccine activity, highlights impaired TH1 immunogenicity in older adults, and provides rationale for developing enhanced mRNA vaccines with greater immunogenicity in vulnerable populations.","Brook B, Fatou B, Checkervarty A, Barman S, Sweitzer C, Bosco AN, Sherman A, Baden LR, Morrocchi E, Sanchez-Schmitz G, Palma P, Nanishi E, O'Meara T, McGrath M, Frieman M, Soni D, van Haren S, Ozonoff A, Diray-Arce J, Steen H, Dowling D, Levy O.",Res Sq. 2022 Dec 21:rs.3.rs-2395118. doi: 10.21203/rs.3.rs-2395118/v1. Preprint.,Brook B,Res Sq,2022,1/4/2023,PMC9810224,,10.21203/rs.3.rs-2395118/v1,,5,0,0,,,,
Olink,Q3 '22 - Q1 '23,36806647,The blood proteomic signature of prurigo nodularis reveals distinct inflammatory and neuropathic endotypes: A cluster analysis,0,Immunology,47,,"8, 25",,"TNF,C-X-C Motif Chemokine Ligand 9,interleukin-12B,tumor necrosis factor receptor superfamily member 9",1,1,,This study provides evidence of neuroimmune-biased endotypes in PN and can aid clinicians in managing patients with PN that are nonresponsive to traditional therapies.,"Parthasarathy V, Cravero K, Xu L, Deng J, Sun Z, Engle SM, Sims JT, Okragly AJ, Kwatra SG.",J Am Acad Dermatol. 2023 May;88(5):1101-1109. doi: 10.1016/j.jaad.2023.01.042. Epub 2023 Feb 15.,Parthasarathy V,J Am Acad Dermatol,2023,2/22/2023,,,10.1016/j.jaad.2023.01.042,,47,0,0,,"P01375,Q07325,P29460,Q07011,",,
